,Testo,Codice Lingua
60,Papiro con testi sacri dell'Antico Egitto,it
61,Tamburo cerimoniale delle tribù native americane,it
62,Sperone da cavaliere medievale in ferro battuto,it
63,Sigillo cilindrico mesopotamico con incisioni,it
64,Scettro rituale azteco con intarsi di turchese,it
65,Mosaico bizantino con rappresentazione di Cristo Pantocratore,it
66,Fiasca per pellegrini medievale in terracotta,it
67,Spada con lama damascata e impugnatura in avorio,it
68,Croce reliquiario gotica con gemme incastonate,it
69,Piatto ceramico con decorazione ottomana in blu e bianco,it
70,Statua di Buddha in bronzo dorato della dinastia Tang,it
71,Medaglia commemorativa del periodo napoleonico,it
72,Clessidra del XVI secolo con struttura in ottone,it
73,Urna funeraria etrusca decorata con scene di banchetto,it
74,Daga rituale tibetana con decorazioni in argento,it
75,Tessuto precolombiano con motivi geometrici colorati,it
76,Bastone da comando africano con incisioni rituali,it
77,Bassorilievo romano in marmo con scena di battaglia,it
78,Diadema in oro della civiltà tracia,it
79,Strumento musicale antico in osso con fori per le note,it
80,Elmo da cavaliere crociato con croce incisa,it
81,Lampada a olio romana con raffigurazione di Mercurio,it
82,Moneta d'oro dell'Impero persiano,it
83,Bottiglia in vetro con smalti dorati della dinastia Safavide,it
84,Scudo persiano con decorazioni floreali incise,it
85,Pettorale egizio con scarabeo sacro al centro,it
86,Tavoletta votiva greca con iscrizioni incise,it
87,Veste cerimoniale samurai in seta ricamata,it
88,Pugnale scita con lama curva e decorazioni animali,it
89,Bracciale in bronzo dell'epoca celtica,it
90,Vetrata medievale con rappresentazione di santi,it
91,Statuetta in terracotta della civiltà della valle dell'Indo,it
92,Scrigno medievale in legno con borchie in ferro,it
93,Pendente vichingo con rappresentazione di Thor,it
94,Sigillo papale in piombo con immagine di San Pietro,it
95,Cintura in cuoio con fibbia longobarda in bronzo,it
96,Bacile rinascimentale in rame inciso con motivi vegetali,it
97,Elmo crestato della civiltà sannitica,it
99,Anfora greca decorata a figure nere,it
100,Dipinto rinascimentale raffigurante la Vergine col Bambino,it
101,Elmo corinzio in bronzo del VI secolo a.C,it
104,Spada vichinga con elsa decorata,it
105,Maschera funeraria egiziana in oro,it
112,Spirale neolitica decorata,it
114,Scultura in bronzo rappresentante Eracle,it
116,Pettine in osso dell'età vichinga,it
117,Elmo da samurai con cresta ornamentale,it
118,Antico anello con sigillo egiziano,it
119,Tappeto persiano del XVII secolo con motivi floreali,it
121,Pugnale rituale in ossidiana delle civiltà precolombiane,it
124,Statuetta di divinità indù in bronzo,it
125,Cassa dell'orologio barocco in legno intarsiato,it
128,Bacchetta divinatoria di epoca romana,it
129,Corno da caccia medievale scolpito,it
130,Diorama egiziano raffigurante la costruzione di una piramide,it
131,Ritratto in avorio del periodo napoleonico,it
137,Cilindro con iscrizioni geroglifiche egiziane,it
140,Ascia in pietra lucidata dell'età della pietra,it
142,Vaso in porcellana con scene di vita di corte cinese,it
145,Piatto in ceramica ispano-moresca del XIV secolo,it
148,Spilla in oro e smalto cloisonné del periodo bizantino,it
152,Idolo di giada della cultura olmeca,it
154,Ciondolo egiziano con simbolo dell'occhio di Horus,it
155,Scultura in pietra Maya raffigurante un sacerdote,it
157,Pettorale rinascimentale in acciaio brunito,it
158,Papiro con testi sacri dell'antico Egitto,it
159,Tamburo cerimoniale delle tribù dei nativi americani,it
164,Fiaschetta da pellegrino medievale in terracotta,it
165,Spada con lama in damasco e fornimento in avorio,it
166,Croce reliquiario gotico con pietre incastonate,it
167,Piatto in ceramica con decoro ottomano nei colori blu e bianco,it
172,Pugnale rituale tibetano con decorazioni in argento,it
174,Bastone africano con incisioni rituali,it
176,Diadema d'oro della civiltà tracia,it
177,Antico strumento musicale in osso con fori per le note,it
179,Lampada ad olio romana con rappresentazione di Mercurio,it
180,Moneta d'oro dell'Impero Persiano,it
181,Bottiglia in vetro con smalti dorati della dinastia safavide,it
183,Pettorale egiziano con scarabeo sacro al centro,it
185,Abito da cerimonia da samurai in seta ricamata,it
186,Pugnale scita con lama curva e decorazioni di animali,it
187,Bracciale in bronzo di epoca celtica,it
190,Cassapanca medievale in legno con chiodi in ferro,it
191,Ciondolo vichingo con rappresentazione di Thor,it
192,Sigillo papale in piombo con l'immagine di San Pietro,it
193,Cintura in pelle con fibbia lombarda in bronzo,it
194,Bacinella rinascimentale in rame inciso a motivi vegetali,it
197,Anfora greca con decorazione a figure nere,it
198,Dipinto rinascimentale raffigurante la Madonna col Bambino,it
203,Maschera funeraria egiziana dorata,it
204,Tavoletta sumera con incisioni a cuneo,it
210,Turbinio neolitico decorato,it
214,Pettine in osso dell'era vichinga,it
215,Elmo da samurai con stemma decorativo,it
222,Statuetta in bronzo di divinità indù,it
223,Cassa dell'orologio barocco in legno con intarsi,it
225,Scudo decorato degli indigeni dell'Amazzonia,it
226,Bacchetta da rabdomante di epoca romana,it
234,Chiave di bronzo per una porta medievale,it
236,Calice d'Oro della Civiltà Micenea,it
239,Spilla in oro e smalti di epoca longobarda,it
242,Carri da guerra in miniatura della civiltà assira,it
244,Maschera rituale africana realizzata in legno intagliato,it
245,Dipinto barocco con scena di caccia,it
246,Spilla in oro con smalto cloisonné di epoca bizantina,it
248,Anfora romana con decorazione in rilievo,it
252,Ciondolo egiziano con il simbolo dell'Occhio di Horus,it
257,Tamburo cerimoniale delle tribù indiane,it
258,Delphinium medievale in ferro battuto,it
261,Mosaico bizantino raffigurante Cristo Pantocratore,it
262,Bottiglia da pellegrino medievale in terracotta,it
263,Spada con lama in damasco e manico in avorio,it
264,Croce reliquiario gotico con pietre preziose incastonate,it
269,Urna funeraria etrusca con scene di banchetto,it
272,Personale di comando africano con incisioni rituali,it
275,Antico strumento musicale in osso con fori musicali,it
277,Lampada ad olio romana con raffigurazione di Mercurio,it
279,Bottiglia in vetro con smalto dorato della dinastia safavide,it
280,Scudo persiano con decorazione floreale incisa,it
281,Pettorale egiziano con uno scarabeo sacro al centro,it
283,Abito cerimoniale da samurai realizzato in seta ricamata,it
285,Bracciale in bronzo del periodo celtico,it
286,Vetrata medievale raffigurante santi,it
287,Figura in terracotta della civiltà della valle dell'Indo,it
288,Cassapanca medievale in legno con rivetti in ferro,it
289,Ciondolo vichingo raffigurante Thor,it
292,Bacinella rinascimentale in rame con motivi vegetali incisi,it
293,Elmo araldico della civiltà sannitica,it
294,Marble statue of a Roman emperor from the 2nd century,en
295,Greek amphora with black-figure decorations,en
296,Renaissance painting depicting the Madonna and Child,en
297,Corinthian bronze helmet from the 6th century BC,en
298,Medieval manuscript with gilded miniatures,en
299,Gothic wooden sculpture of a saint,en
300,Viking sword with a decorated hilt,en
301,Egyptian gold funerary mask,en
302,Sumerian tablet with cuneiform inscriptions,en
303,Ming Dynasty Chinese vase with blue and white enamels,en
304,Pompeian fresco with a mythological scene,en
305,Baroque harp in carved and gilded wood,en
306,Silver coin from the Byzantine Empire,en
307,Full knight's armor from the 15th century,en
308,Decorated Neolithic spindle whorl,en
309,Roman mosaic with geometric patterns,en
310,Bronze sculpture depicting Heracles,en
311,Etruscan jug with inscriptions in the Etruscan alphabet,en
312,Bone comb from the Viking Age,en
313,Samurai helmet with an ornamental crest,en
314,Ancient Egyptian signet ring,en
315,17th-century Persian carpet with floral patterns,en
316,Medieval parchment with musical notation,en
317,Obsidian ritual dagger from pre-Columbian civilizations,en
318,Persian miniature depicting a hunting scene,en
319,Terracotta votive idol from the Nuragic culture,en
320,Hindu deity figurine in bronze,en
321,Baroque clock case in inlaid wood,en
322,Phoenician necklace in amber and colored glass,en
323,Decorated shield of Amazonian indigenous people,en
324,Roman-era dowsing rod,en
325,"Medieval hunting horn, intricately carved",en
326,Egyptian diorama depicting the construction of a pyramid,en
327,Ivory portrait from the Napoleonic era,en
328,Roman gladiator helmet,en
329,Pre-Columbian dagger with a rock crystal blade,en
330,Gothic stained glass window with biblical scenes,en
331,Venetian blown glass perfume bottle,en
332,Bronze key from a medieval door,en
333,Cylinder with Egyptian hieroglyphic inscriptions,en
334,Golden cup from the Mycenaean civilization,en
335,Gothic reliquary with enamels and precious stones,en
336,Polished stone axe from the Stone Age,en
337,Lombard-era gold and enamel fibula,en
338,Porcelain vase with scenes of Chinese court life,en
339,Silver Viking bracelet,en
340,Miniature war chariot from the Assyrian civilization,en
341,Hispano-Moresque ceramic plate from the 14th century,en
342,African ritual mask in carved wood,en
343,Baroque painting depicting a hunting scene,en
344,Byzantine-era gold brooch with cloisonné enamel,en
345,Bronze votive statuette from the Celtic civilization,en
346,Roman amphora with relief decorations,en
347,Medieval helmet with a movable visor,en
348,Olmec jade idol,en
349,Viking parchment with runic script,en
350,Egyptian pendant with the Eye of Horus symbol,en
351,Mayan stone sculpture depicting a priest,en
352,Decorated vase with mythological scenes from the Minoan civilization,en
353,Renaissance breastplate in burnished steel,en
354,Papyrus with sacred texts from Ancient Egypt,en
355,Ceremonial drum of Native American tribes,en
356,Medieval knight's spur in wrought iron,en
357,Mesopotamian cylinder seal with engravings,en
358,Aztec ritual scepter with turquoise inlays,en
359,Byzantine mosaic depicting Christ Pantocrator,en
360,Medieval pilgrim’s flask in terracotta,en
361,Damascened sword with an ivory hilt,en
362,Gothic reliquary cross with embedded gems,en
363,Ceramic plate with Ottoman blue and white decoration,en
364,Golden bronze Buddha statue from the Tang Dynasty,en
365,Commemorative medal from the Napoleonic period,en
366,16th-century hourglass with a brass structure,en
367,Etruscan funerary urn decorated with banquet scenes,en
368,Tibetan ritual dagger with silver decorations,en
369,Pre-Columbian textile with geometric motifs,en
370,African command staff with ritual carvings,en
371,Roman marble bas-relief with a battle scene,en
372,Thracian civilization gold diadem,en
373,Ancient musical instrument in bone with note holes,en
374,Crusader knight's helmet with an engraved cross,en
375,Roman oil lamp depicting Mercury,en
376,Gold coin from the Persian Empire,en
377,Glass bottle with golden enamels from the Safavid Dynasty,en
378,Persian shield with engraved floral decorations,en
379,Egyptian breastplate with a sacred scarab at the center,en
380,Greek votive tablet with engraved inscriptions,en
381,Samurai ceremonial robe in embroidered silk,en
382,Scythian dagger with a curved blade and animal decorations,en
383,Celtic-era bronze bracelet,en
384,Medieval stained glass window depicting saints,en
385,Terracotta figurine from the Indus Valley civilization,en
386,Medieval wooden chest with iron studs,en
387,Viking pendant depicting Thor,en
388,Papal lead seal with an image of Saint Peter,en
389,Leather belt with a Lombard bronze buckle,en
390,Renaissance copper basin engraved with vegetal motifs,en
391,Crested helmet from the Samnite civilization,en
393,Greek amphora with black-figure decoration,en
395,Corinthian bronze helmet from the 6th century BC BC,en
398,Viking sword with decorated handle,en
399,Egyptian golden burial mask,en
401,Ming Dynasty Chinese vase with blue and white enamel,en
402,Pompeian fresco depicting a mythological scene,en
403,Baroque harp made of carved and gilded wood,en
405,Complete knight's armor from the 15th century,en
411,Samurai helmet with decorative coat of arms,en
413,17th century Persian carpet with floral patterns,en
415,Ritual dagger made of obsidian from pre-Columbian civilizations,en
417,Terracotta votidol from the Nuragic culture,en
418,Hindu bronze deity figure,en
419,Baroque clock case made of wood with inlays,en
420,Phoenician necklace made of amber and colored glass,en
421,Decorated shield of the indigenous people of the Amazon,en
422,Dowsing rod from Roman times,en
423,"Medieval hunting horn, elaborately carved",en
425,Ivory portrait from the Napoleonic period,en
427,Pre-Columbian dagger with rock crystal blade,en
430,Bronze key of a medieval door,en
432,Golden chalice from the Mycenaean civilization,en
433,Gothic reliquary with enamel and precious stones,en
434,Polished stone ax from the Stone Age,en
435,Brooch made of gold and enamel from Lombardy,en
436,Porcelain vase with scenes from Chinese court life,en
438,Miniature war chariots from the Assyrian civilization,en
439,Hispano-Moorish ceramic plate from the 14th century,en
440,African ritual mask made of carved wood,en
441,Baroque painting with a hunting scene,en
442,Byzantine period gold brooch with cloisonné enamel,en
443,Bronze votive statuette from Celtic civilization,en
444,Roman amphora with relief decoration,en
445,Medieval helmet with movable visor,en
451,Renaissance breastplate made of burnished steel,en
452,Papyrus with sacred texts from ancient Egypt,en
453,Ceremonial drum of the Indian tribes,en
454,Medieval wrought iron delphinium,en
458,Medieval terracotta pilgrim bottle,en
459,Damascened sword with ivory handle,en
460,Gothic reliquary cross with embedded gemstones,en
461,Ceramic plate with Ottoman blue and white decor,en
462,Golden bronze Buddha statue from Tang Dynasty,en
464,16th century hourglass with brass structure,en
465,Etruscan urn with banquet scenes,en
467,Pre-Columbian fabric with geometric motifs,en
469,Roman marble bas-relief depicting a battle scene,en
470,Gold diadem of the Thracian civilization,en
471,Old musical instrument made of bone with music holes,en
472,Crusader helmet with engraved cross,en
475,Glass bottle with gold enamel from the Safavid dynasty,en
476,Persian shield with engraved floral decoration,en
477,Egyptian breastplate with a sacred scarab in the middle,en
479,Samurai ceremonial robe made of embroidered silk,en
480,Scythian dagger with curved blade and animal decorations,en
481,Bronze bracelet from the Celtic period,en
482,Medieval stained glass window with depictions of saints,en
483,Terracotta figure from the Indus Valley Civilization,en
484,Medieval wooden chest with iron rivets,en
487,Leather belt with Lombard bronze buckle,en
488,Renaissance copper basin with engraved plant motifs,en
489,Helmet with coat of arms from the Samnite civilization,en
490,Marble statue of a 2nd century Roman emperor,en
494,Medieval manuscript with golden miniatures,en
496,Viking sword with decorated hilt,en
499,Chinese Ming Dynasty vase with blue and white glazes,en
500,Pompeian fresco with mythological scene,en
502,Silver coin of the Byzantine Empire,en
504,Decorated Neolithic spindle spindle,en
505,Roman mosaic with geometric motifs,en
508,Viking era bone comb,en
509,Samurai helmet with ornamental coat of arms,en
511,17th century Persian carpet with floral motifs,en
513,Ritual obsidian dagger from pre-Columbian civilizations,en
515,Votive idol in terracotta from the Nuragic culture,en
516,Bronze Hindu deity statuette,en
517,Baroque watch case made of inlaid wood,en
519,Decorated shield of the Amazonian indigenous people,en
520,Roman era divining rod,en
521,"Medieval hunting horn, finely carved",en
528,Bronze key to a medieval door,en
530,Golden cup of the Mycenaean civilization,en
533,Gold and enamel fibula from the Lombard period,en
535,Viking bracelet in silver,en
536,Miniature war chariot of the Assyrian civilization,en
537,14th century Hispano-Moorish ceramic plate,en
540,Byzantine era gold brooch with cloisonné enamel,en
541,Bronze votive statuette of the Celtic civilization,en
545,Viking scroll with runic writing,en
548,Vase decorated with mythological scenes of the Minoan civilisation,en
552,Medieval wrought iron knight's spur,en
556,Medieval terracotta pilgrim flask,en
557,Damascus sword with ivory hilt,en
558,Gothic reliquary cross with set gems,en
559,Ceramic plate with blue and white Ottoman decoration,en
560,Tang Dynasty gilded bronze Buddha statue,en
561,Commemorative medal of the Napoleonic period,en
565,Pre-Columbian fabric with geometric patterns,en
566,African command staff with ritual engravings,en
567,Roman marble bas-relief with battle scene,en
568,Golden diadem of the Thracian civilization,en
569,Ancient bone musical instrument with note holes,en
570,Crusader knight helmet with engraved cross,en
572,Gold coin of the Persian Empire,en
573,Glass bottle with golden enamels from the Safavid dynasty,en
575,Egyptian pectoral with a sacred scarab in the centre,en
579,Bronze bracelet from the Celtic era,en
581,Terracotta figurine from the Indus Valley Civilization,en
584,Papal lead seal with the image of Saint Peter,en
585,Leather belt with bronze Lombard buckle,en
586,Renaissance copper basin engraved with plant motifs,en
587,Crested helmet of the Samnite civilization,en
588,Marmorstatue eines römischen Kaisers aus dem 2. Jahrhundert,de
589,Griechische Amphore mit schwarzfigurigen Verzierungen,de
590,Renaissance-Gemälde der Madonna mit Kind,de
591,Korinthischer Bronzehelm aus dem 6. Jahrhundert v. Chr.,de
592,Mittelalterliches Manuskript mit goldenen Miniaturen,de
593,Gotische Holzskulptur eines Heiligen,de
594,Wikingerschwert mit verziertem Griff,de
595,Ägyptische goldene Totenmaske,de
596,Sumerische Tontafel mit Keilschriftinschriften,de
597,Chinesische Vase aus der Ming-Dynastie mit blauen und weißen Emaillemalereien,de
598,Pompejanisches Fresko mit mythologischer Szene,de
599,Barockharfe aus geschnitztem und vergoldetem Holz,de
600,Silbermünze aus dem Byzantinischen Reich,de
601,Komplette Ritterrüstung aus dem 15. Jahrhundert,de
602,Verzierte neolithische Spinnwirtel,de
603,Römisches Mosaik mit geometrischen Mustern,de
604,"Bronzeskulptur, die Herakles darstellt",de
605,Etruskische Kanne mit Inschriften im etruskischen Alphabet,de
606,Knochenkamm aus der Wikingerzeit,de
607,Samuraihelm mit ornamentaler Verzierung,de
608,Antiker ägyptischer Siegelring,de
609,Persischer Teppich aus dem 17. Jahrhundert mit Blumenmustern,de
610,Mittelalterliche Pergamenthandschrift mit Musiknotation,de
611,Obsidiandolch aus präkolumbianischen Zivilisationen,de
612,Persische Miniatur mit Jagdszene,de
613,Terrakotta-Votivfigur aus der Nuraghen-Kultur,de
614,Hinduistische Götterfigur aus Bronze,de
615,Barocke Uhrenkassette aus Intarsienholz,de
616,Phönizische Halskette aus Bernstein und farbigem Glas,de
617,Verziertes Schild indigener Amazonasvölker,de
618,Römische Wünschelrute,de
619,"Mittelalterliches Jagdhorn, kunstvoll geschnitzt",de
620,"Ägyptisches Diorama, das den Bau einer Pyramide darstellt",de
621,Elfenbeinporträt aus der napoleonischen Ära,de
622,Römischer Gladiatorenhelm,de
623,Präkolumbianischer Dolch mit Klingen aus Bergkristall,de
624,Gotisches Buntglasfenster mit biblischen Szenen,de
625,Venezianische Parfümflasche aus mundgeblasenem Glas,de
626,Bronzeschlüssel einer mittelalterlichen Tür,de
627,Zylinder mit altägyptischen Hieroglypheninschriften,de
628,Goldene Tasse der mykenischen Zivilisation,de
629,Gotisches Reliquiar mit Emaille und Edelsteinen,de
630,Polierte Steinaxt aus der Steinzeit,de
631,Langobardische Gold- und Emailfibula,de
632,Porzellanvase mit Szenen aus dem chinesischen Hofleben,de
633,Silbernes Wikingerarmband,de
634,Miniatur-Kriegsszene mit Streitwagen aus der assyrischen Zivilisation,de
635,Hispano-maurisches Keramikteller aus dem 14. Jahrhundert,de
636,Afrikanische Ritualmaske aus geschnitztem Holz,de
637,Barockgemälde mit einer Jagdszene,de
638,Byzantinische Goldbrosche mit Cloisonné-Emaille,de
639,Bronzene Votivstatue aus der keltischen Zivilisation,de
640,Römische Amphore mit Reliefverzierungen,de
641,Mittelalterlicher Helm mit beweglichem Visier,de
642,Olmekischer Jade-Idol,de
643,Wikingerpergament mit Runenschrift,de
644,Ägyptischer Anhänger mit dem Symbol des Horusauges,de
645,"Maya-Steinfigur, die einen Priester darstellt",de
646,Verzierte Vase mit mythologischen Szenen aus der minoischen Zivilisation,de
647,Renaissance-Brustpanzer aus brüniertem Stahl,de
648,Papyrus mit heiligen Texten aus dem Alten Ägypten,de
649,Zeremonielles Trommel der nordamerikanischen Ureinwohner,de
650,Mittelalterlicher Rittersporn aus Schmiedeeisen,de
651,Mesopotamischer Zylindersiegel mit Gravuren,de
652,Aztekisches Ritualzepter mit Türkiseinlagen,de
653,Byzantinisches Mosaik mit Darstellung von Christus Pantokrator,de
654,Mittelalterliche Pilgerflasche aus Terrakotta,de
655,Damaststahl-Schwert mit Elfenbeingriff,de
656,Gotisches Reliquienkreuz mit eingefassten Edelsteinen,de
657,Keramikteller mit osmanischer Dekoration in Blau und Weiß,de
658,Goldene Bronzestatue Buddhas aus der Tang-Dynastie,de
659,Gedenkmedaille aus der napoleonischen Zeit,de
660,Sanduhr aus dem 16. Jahrhundert mit Messingrahmen,de
661,Etruskische Urne mit Bankettszenen verziert,de
662,Tibetischer Ritualdolch mit Silberverzierungen,de
663,Präkolumbianischer Stoff mit geometrischen Mustern,de
664,Afrikanischer Zeremonienstab mit rituellen Schnitzereien,de
665,Römisches Marmor-Relief mit einer Kampfszene,de
666,Goldenes Diadem aus der thrakischen Zivilisation,de
667,Antikes Musikinstrument aus Knochen mit Notenlöchern,de
668,Kreuzritterhelm mit eingraviertem Kreuz,de
669,Römische Öllampe mit Merkur-Darstellung,de
670,Goldmünze aus dem Persischen Reich,de
671,Glasflasche mit goldenen Emailleverzierungen aus der Safawiden-Dynastie,de
672,Persischer Schild mit gravierten Blumenmustern,de
673,Ägyptischer Brustpanzer mit einem heiligen Skarabäus in der Mitte,de
674,Griechische Votivtafel mit eingravierten Inschriften,de
675,Samurai-Zeremoniengewand aus bestickter Seide,de
676,Skythischer Dolch mit gebogener Klinge und Tierverzierungen,de
677,Bronzearmband aus der keltischen Epoche,de
678,Mittelalterliches Buntglasfenster mit Heiligendarstellungen,de
679,Terrakotta-Figur aus der Indus-Kultur,de
680,Mittelalterliche Holztruhe mit Eisennieten,de
681,Wikinger-Anhänger mit Darstellung von Thor,de
682,Päpstliches Bleisiegel mit dem Bild des Heiligen Petrus,de
683,Leder-Gürtel mit langobardischer Bronzeschließe,de
684,Renaissance-Kupferbecken mit pflanzlichen Mustern graviert,de
685,Helm mit Kamm der samnitischen Zivilisation,de
687,Griechische Amphore mit schwarzen Figuren verziert,de
688,Renaissance-Gemälde der Jungfrau mit Kind,de
689,Korinthischer Bronzehelm aus dem 6. Jahrhundert v. Chr,de
690,Mittelalterliche Handschrift mit vergoldeten Miniaturen,de
693,Goldene ägyptische Totenmaske,de
694,Sumerische Tontafel mit Keilinschriften,de
695,Chinesische Vase aus der Ming-Dynastie mit blau-weißer Emailmalerei,de
697,Barocke Harfe aus geschnitztem und vergoldetem Holz,de
698,Silbermünze des Byzantinischen Reiches,de
700,Verzierte neolithische Wirbel,de
703,Etruskischer Krug mit Inschriften im etruskischen Alphabet,de
705,Samurai-Helm mit ornamentaler Verzierung,de
706,Altägyptischer Siegelring,de
707,Perserteppich aus dem 17. Jahrhundert mit floralen Mustern,de
708,Mittelalterliche Handschrift auf Pergament mit Notenschrift,de
711,Votivfigur aus Terrakotta aus der Nuraghenkultur,de
712,Bronzene Hindu-Gottfigur,de
713,Barockes Uhrengehäuse aus Holz mit Intarsien,de
715,Verzierter Schild der indigenen Völker des Amazonas,de
719,Elfenbeinporträt aus der napoleonischen Zeit,de
721,Präkolumbianischer Dolch mit Bergkristallklingen,de
726,Goldener Kelch der mykenischen Zivilisation,de
729,Lombardische Fibel aus Gold und Emaille,de
731,Wikinger-Armband aus Silber,de
732,Miniaturkriegsszene mit Streitwagen aus der assyrischen Zivilisation,de
733,Hispano-maurischer Keramikteller aus dem 14. Jahrhundert,de
736,Byzantinische Brosche aus Gold und Cloisonné-Email,de
737,Votivstatue aus Bronze aus der keltischen Zivilisation,de
738,Römische Amphore mit Reliefdekor,de
740,Olmekisches Jade-Idol,de
741,Wikingerrolle mit Runenschrift,de
742,Ägyptischer Anhänger mit dem Symbol des Auges des Horus,de
744,Vase verziert mit mythologischen Szenen aus der minoischen Zivilisation,de
745,Renaissance-Brustharnisch aus brüniertem Stahl,de
746,Papyrus mit heiligen Texten aus dem alten Ägypten,de
747,Zeremonielle Trommel der Ureinwohner Nordamerikas,de
748,Mittelalterliches Rittersporn aus Schmiedeeisen,de
749,Mesopotamisches Rollsiegel mit Gravuren,de
750,Aztekisches Ritualzepter mit türkisfarbenen Intarsien,de
751,Byzantinisches Mosaik mit der Darstellung von Christus Pantokrator,de
753,Schwert aus Damaststahl mit Elfenbeingriff,de
754,Gotisches Reliquienkreuz mit eingelegten Edelsteinen,de
755,Keramikteller mit osmanischem Dekor in Blau und Weiß,de
756,Buddha-Statue aus vergoldeter Bronze der Tang-Dynastie,de
759,"Etruskische Urne, verziert mit Bankettszenen",de
763,Römisches Marmorrelief mit Kampfszene,de
764,Goldenes Diadem der thrakischen Zivilisation,de
766,Kreuzfahrerhelm mit eingraviertem Kreuz,de
767,Römische Öllampe mit Merkurdarstellung,de
768,Goldmünze des Persischen Reiches,de
769,Glasflasche mit Goldemail-Dekorationen aus der Safawiden-Dynastie,de
770,Persischer Schild mit eingravierten Blumenmotiven,de
773,Bestickte Samurai-Zeremonienrobe aus Seide,de
775,Bronzearmband aus der keltischen Zeit,de
776,Mittelalterliches Buntglasfenster mit Darstellungen von Heiligen,de
779,"Wikinger-Anhänger, der Thor darstellt",de
781,Ledergürtel mit bronzefarbener Lombardschließe,de
782,Renaissance-Kupferbecken mit eingravierten Pflanzenmotiven,de
783,Helm mit Wappen der samnitischen Zivilisation,de
785,Griechische Amphore mit schwarzfigurigem Dekor,de
788,Mittelalterliche Handschrift mit goldenen Miniaturen,de
793,Chinesische Vase aus der Ming-Dynastie mit blauen und weißen Emaille-Gemälden,de
799,Römisches Mosaik mit geometrischen Motiven,de
803,Samurai-Helm mit ornamentalen Verzierungen,de
805,Perserteppich aus dem 17. Jahrhundert mit Blumenmotiven,de
806,Mittelalterliche Pergamenthandschrift mit Notenschrift,de
809,Terrakotta-Votivfigur aus der Nuraghenkultur,de
811,Barockes Uhrengehäuse aus eingelegtem Holz,de
813,Verzierter Schild der indigenen Bevölkerung des Amazonas,de
821,Venezianischer Parfümflakon aus mundgeblasenem Glas,de
822,Bronzeschlüssel zu einer mittelalterlichen Tür,de
823,Zylinder mit Hieroglypheninschriften aus dem alten Ägypten,de
830,Miniaturkriegsszene mit Streitwagen der assyrischen Zivilisation,de
833,Barockgemälde mit Jagdszene,de
834,Byzantinische Brosche aus Gold mit Cloisonné-Emaille,de
